epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6697.71,1.42486,5.88934,1.56027,0.7241,0.50929,0.55403,0.30961,1.53578,4.31683,1.52157,0.0005941,0.0005941,0.0005941
43,6859.4,1.41371,5.8664,1.54796,0.59754,0.55232,0.56444,0.3178,1.56414,4.25805,1.53147,0.0005842,0.0005842,0.0005842
44,6998.37,1.41345,5.7552,1.54248,0.70496,0.50827,0.55036,0.31284,1.54739,4.19269,1.51149,0.0005743,0.0005743,0.0005743
45,7167.21,1.43092,5.71959,1.54727,0.68459,0.51995,0.5527,0.31094,1.53095,4.18816,1.51241,0.0005644,0.0005644,0.0005644
46,7305.59,1.41998,5.67315,1.55052,0.62839,0.53407,0.5497,0.31073,1.54144,4.13859,1.51815,0.0005545,0.0005545,0.0005545
47,7446.53,1.41237,5.6347,1.53899,0.74821,0.5036,0.55888,0.31161,1.51878,4.07017,1.49831,0.0005446,0.0005446,0.0005446
48,7644.7,1.40836,5.50349,1.5381,0.72658,0.51504,0.55617,0.31473,1.52922,4.10405,1.50327,0.0005347,0.0005347,0.0005347
49,7828.7,1.40273,5.61427,1.52779,0.709,0.53917,0.56359,0.31929,1.51648,4.05564,1.49434,0.0005248,0.0005248,0.0005248
50,7967.84,1.4005,5.50042,1.53063,0.71465,0.52576,0.564,0.3201,1.52713,4.03286,1.49429,0.0005149,0.0005149,0.0005149
51,8164.93,1.38751,5.44895,1.51966,0.72857,0.50011,0.56466,0.32486,1.50743,4.03424,1.48463,0.000505,0.000505,0.000505
52,8310.32,1.39681,5.52434,1.52692,0.73574,0.5124,0.56804,0.32543,1.50774,3.99616,1.48071,0.0004951,0.0004951,0.0004951
53,8508.98,1.39235,5.41008,1.52189,0.64832,0.54108,0.57045,0.33083,1.50472,3.96395,1.4863,0.0004852,0.0004852,0.0004852
54,8732.72,1.38172,5.31383,1.5089,0.62848,0.56517,0.5752,0.33399,1.50503,3.93456,1.48703,0.0004753,0.0004753,0.0004753
55,8933.39,1.38884,5.36575,1.5236,0.68776,0.52813,0.57186,0.32919,1.51696,3.94736,1.49022,0.0004654,0.0004654,0.0004654
56,9180.58,1.38029,5.25133,1.50469,0.71549,0.52044,0.57815,0.3318,1.52902,3.93045,1.49015,0.0004555,0.0004555,0.0004555
